Customer_ID,Company_Name,Industry,Segment,Region,State,Credit_Limit_USD,Payment_Terms,Account_Manager,Email,Acquisition_Date,Status
CUST0000001,Mastercard Inc,Energy,Enterprise,Southwest,GA,4798665,Net 45,Allison Hill,donaldgarcia@mastercardinccorporate.com,29-11-2021,Active
CUST0000002,Tesla Inc,Telecommunications,Enterprise,West,CA,3221518,Net 45,Rhonda Smith,helenpeterson@teslainccorporate.com,13-12-2023,Inactive
CUST0000003,Netflix Inc,Energy,Enterprise,Northeast,GA,2536271,Net 60,Valerie Gray,maria95@netflixinccorporate.com,04-11-2022,Active
CUST0000004,Cisco Systems,Healthcare,Enterprise,Southeast,FL,3026072,Net 45,Carla Kelly,jacqueline19@ciscosystemscorporate.com,20-08-2022,Active
CUST0000005,Meta Platforms,Healthcare,Enterprise,Southwest,FL,4032462,Net 45,Thomas Bradley,jason76@metaplatformscorporate.com,07-01-2025,Active
CUST0000006,Meta Platforms,Telecommunications,Enterprise,Midwest,IL,4659092,Net 60,Johnny Campos,hernandezernest@metaplatformscorporate.com,22-06-2021,Active
CUST0000007,Verizon Communications,Financial Services,Enterprise,Southeast,FL,556768,Net 45,Jesse Mckay,teresa28@verizoncommunicationscorporate.com,25-12-2022,Active
CUST0000008,Cisco Systems,Telecommunications,Enterprise,Southwest,WA,4112270,Net 60,Jack Galloway,john39@ciscosystemscorporate.com,20-02-2023,Active
CUST0000009,Johnson & Johnson,Manufacturing,Enterprise,Midwest,NC,2184864,Net 45,Tracey Hickman,jenniferross@johnson&johnsoncorporate.com,24-04-2021,Active
CUST0000010,Comcast Corporation,Telecommunications,Enterprise,Midwest,PA,2533602,Net 45,Crystal Whitehead,chad34@comcastcorporationcorporate.com,21-09-2022,Active
CUST0000011,Comcast Corporation,Telecommunications,Enterprise,Northeast,NC,2176044,Net 60,Nicholas Nunez,brownjessica@comcastcorporationcorporate.com,10-01-2022,Active
CUST0000012,Mastercard Inc,Pharmaceuticals,Enterprise,Northeast,PA,2258658,Net 45,Jessica Callahan,williamsyvette@mastercardinccorporate.com,18-07-2022,Active
CUST0000013,Meta Platforms,Energy,Enterprise,International,PA,1667519,Net 60,Mrs. Rachel Gibson,uhorton@metaplatformscorporate.com,04-04-2021,Active
CUST0000014,AbbVie Inc,Healthcare,Enterprise,International,MA,3662428,Net 30,Kathryn Farrell,brianromero@abbvieinccorporate.com,15-09-2022,Active
