Product_ID,SKU,UPC,Product_Name,Category,Brand,Unit_Cost_USD,Unit_Price_USD,Supplier_ID,Stock_Status,Warranty_Months
1,LAP-000001,446809914267,Microsoft Surface 840 G9,Laptops,Microsoft,868.38,1008.79,SUP00004,In Stock,12
2,LAP-000002,173812556182,Dell Latitude Laptop 5,Laptops,Dell,1228.28,1451.2,SUP00033,Out of Stock,12
3,LAP-000003,188559569253,HP EliteBook Laptop 5,Laptops,HP,787.87,944.85,SUP00003,In Stock,60
4,LAP-000004,835001525541,Lenovo ThinkPad X1 Carbon,Laptops,Lenovo,884.9,1059.88,SUP00026,In Stock,36
5,LAP-000005,688725171936,Microsoft Surface X1 Carbon,Laptops,Microsoft,1718.37,1979.33,SUP00007,In Stock,24
6,LAP-000006,273022703378,Lenovo ThinkPad 840 G9,Laptops,Lenovo,1723.25,2284.78,SUP00024,In Stock,60
7,LAP-000007,388339584783,Lenovo ThinkPad 5420,Laptops,Lenovo,1418.04,1895.0,SUP00007,In Stock,12
8,LAP-000008,798737479634,Dell Latitude 840 G9,Laptops,Dell,963.2,1245.92,SUP00014,Low Stock,36
9,LAP-000009,404209733660,Microsoft Surface X1 Carbon,Laptops,Microsoft,1691.14,1976.03,SUP00028,In Stock,12
10,LAP-000010,875463562649,Dell Latitude X1 Carbon,Laptops,Dell,1536.79,1847.82,SUP00029,In Stock,60
11,LAP-000011,507311484139,Dell Latitude 5420,Laptops,Dell,736.53,980.16,SUP00003,In Stock,24
12,LAP-000012,494702875840,Microsoft Surface 840 G9,Laptops,Microsoft,698.1,933.09,SUP00003,Out of Stock,24
13,LAP-000013,992493718889,HP EliteBook 5420,Laptops,HP,1056.73,1400.11,SUP00010,Low Stock,24
14,LAP-000014,837884981282,Microsoft Surface 5420,Laptops,Microsoft,856.26,1118.68,SUP00027,In Stock,24
15,LAP-000015,319998677633,Lenovo ThinkPad 840 G9,Laptops,Lenovo,1555.48,2060.13,SUP00031,In Stock,60
16,LAP-000016,462488651216,Lenovo ThinkPad X1 Carbon,Laptops,Lenovo,1593.62,1903.71,SUP00013,In Stock,36
17,LAP-000017,134098763897,Dell Latitude X1 Carbon,Laptops,Dell,1053.82,1355.11,SUP00022,In Stock,12
18,LAP-000018,900348631876,Lenovo ThinkPad 840 G9,Laptops,Lenovo,1317.68,1525.41,SUP00028,In Stock,36
19,LAP-000019,671237914339,Microsoft Surface 5420,Laptops,Microsoft,1092.97,1312.6,SUP00028,In Stock,24
20,LAP-000020,890809244118,Lenovo ThinkPad Laptop 5,Laptops,Lenovo,730.47,888.28,SUP00021,In Stock,36
21,LAP-000021,831950243582,Lenovo ThinkPad Laptop 5,Laptops,Lenovo,1025.11,1292.54,SUP00013,In Stock,60
22,LAP-000022,965134782024,HP EliteBook X1 Carbon,Laptops,HP,1116.99,1352.42,SUP00014,In Stock,36
23,LAP-000023,193024055640,Microsoft Surface Laptop 5,Laptops,Microsoft,1158.48,1441.89,SUP00011,In Stock,36
24,LAP-000024,318212526070,Lenovo ThinkPad 5420,Laptops,Lenovo,1591.19,2043.98,SUP00015,In Stock,24
25,LAP-000025,557222530916,Dell Latitude 5420,Laptops,Dell,931.57,1229.62,SUP00005,In Stock,24
26,LAP-000026,567199758169,Microsoft Surface Laptop 5,Laptops,Microsoft,1109.6,1428.64,SUP00007,Low Stock,24
27,LAP-000027,981040982753,HP EliteBook Laptop 5,Laptops,HP,707.75,933.99,SUP00030,In Stock,60
28,LAP-000028,275652171321,Lenovo ThinkPad Laptop 5,Laptops,Lenovo,1354.55,1694.48,SUP00029,In Stock,60
29,LAP-000029,364684869097,Microsoft Surface X1 Carbon,Laptops,Microsoft,1514.54,1825.72,SUP00032,In Stock,36
30,LAP-000030,263803069319,Microsoft Surface 5420,Laptops,Microsoft,1470.58,1789.95,SUP00006,In Stock,24
31,LAP-000031,166210246191,Microsoft Surface 840 G9,Laptops,Microsoft,1462.38,1800.95,SUP00030,In Stock,24
